Key;Type;Desc;English;Vietnamese [vi]
Story/Utopia/Voiceline/OlofDialogue13_2;Text;;Imagine the cost if we hadn’t made it out to sea, like the other cities? No, that wasn’t an option.;Hãy tưởng tượng chi phí nếu chúng ta không ra khơi được, như những thành phố khác? Không, đó không phải là một lựa chọn.
Story/Utopia/Voiceline/OlofDialogue14_1;Text;;I did not abandon Tangaroa. My private consultants made it very clear.;Ta không bỏ rơi Tangaroa. Các cố vấn riêng của ta đã nói rất rõ ràng.
Story/Utopia/Voiceline/OlofDialogue14_2;Text;;The city wouldn’t last a year out at sea. ;Thành phố sẽ không trụ nổi một năm ngoài biển khơi.
Story/Utopia/Voiceline/OlofDialogue14_3;Text;;Vasagatan was my way of saving a few souls from that fate.;Vasagatan là cách của ta để cứu lấy vài linh hồn khỏi số phận đó.
Story/Utopia/Voiceline/OlofDialogue15;Text;;They would have drowned anyway.;Đằng nào họ cũng sẽ chết đuối thôi.
Story/Utopia/Voiceline/OlofDialogue16;Text;;I am a good man. I am a good man.;Ta là người tốt. Ta là người tốt.
Story/Utopia/Voiceline/OlofDialogue17_1;Text;;The Lurkers weren’t entirely useless. ;Lũ Lurker không hoàn toàn vô dụng.
Story/Utopia/Voiceline/OlofDialogue17_2;Text;;They wrought chaos onboard Tangaroa.;Chúng đã gây ra hỗn loạn trên tàu Tangaroa.
Story/Utopia/Voiceline/OlofDialogue17_3;Text;;Any decent fighting force could have brought order within a day or two.;Bất kỳ lực lượng chiến đấu tử tế nào cũng có thể lập lại trật tự trong một hai ngày.
Story/Utopia/Voiceline/OlofDialogue17_4;Text;;None of them were ready for reality. When there’s only food for one in ten, nine have to go.;Không ai trong số họ chuẩn bị cho thực tế cả. Khi chỉ có đủ thức ăn cho một trong mười người, chín người còn lại phải ra đi.
Story/Utopia/Voiceline/OlofDialogue18_1;Text;;The hyenas of Caravan Town were easily rounded up.;Đám linh cẩu ở Caravan Town bị gom lại dễ dàng.
Story/Utopia/Voiceline/OlofDialogue18_2;Text;;Their efficiency and discipline was unrivaled. ;Hiệu quả và kỷ luật của chúng là vô song.
Story/Utopia/Voiceline/OlofDialogue18_3;Text;;Had I only gotten a few more off that barren rock, then you would have never stood a chance.;Nếu ta chỉ cần lấy thêm vài con từ tảng đá cằn cỗi đó, các ngươi sẽ chẳng có cơ hội nào.
Story/Utopia/Voiceline/OlofDialogue19_1;Text;;If you hadn’t interfered, I would be out there reinstating law and order. ;Nếu các ngươi không can thiệp, giờ ta đã đang ngoài kia tái lập luật pháp và trật tự.
Story/Utopia/Voiceline/OlofDialogue19_2;Text;;Have you ever done anything of such importance?;Các ngươi đã bao giờ làm được điều gì quan trọng như vậy chưa?
Story/Utopia/Voiceline/OlofDialogue2;Text;;These idiots won’t get anything done. They’ll starve soon, and so will you.;Đám ngốc này sẽ chẳng làm nên trò trống gì. Chúng sẽ sớm chết đói, và cả ngươi cũng vậy.
Story/Utopia/Voiceline/OlofDialogue20_1;Text;;Yes, we all heard about the failure of the Forward Scouts.;Vâng, tất cả chúng ta đều nghe về thất bại của các Trinh Sát Tiên Phong.
Story/Utopia/Voiceline/OlofDialogue20_2;Text;;Those naive idiots couldn’t even beat the waves. What, you think you’re any different?;Đám ngốc ngây thơ đó còn không thể đánh bại nổi sóng biển. Sao, ngươi nghĩ mình khác biệt à?
Story/Utopia/Voiceline/OlofDialogue21;Text;;Look at these people. They have no control. No power. They need me.;Nhìn những người này xem. Họ không có quyền kiểm soát. Không có quyền lực. Họ cần ta.
Story/Utopia/Voiceline/OlofDialogue3;Text;;Disorganized rabble.;Đám ô hợp vô tổ chức.
Story/Utopia/Voiceline/OlofDialogue4;Text;;You need a strong leader. Not these weaklings.;Các ngươi cần một lãnh đạo mạnh mẽ. Không phải đám yếu đuối này.
Story/Utopia/Voiceline/OlofDialogue5;Text;;This is what I get for trusting my army.;Đây là những gì ta nhận được vì đã tin tưởng đội quân của mình.
Story/Utopia/Voiceline/OlofDialogue6;Text;;If you have to do something, do it yourself.;Nếu phải làm gì đó, hãy tự mình làm.
Story/Utopia/Voiceline/OlofDialogue7;Text;;They don’t have the guts to rule.;Chúng không có đủ can đảm để cai trị.
Story/Utopia/Voiceline/OlofDialogue8_1;Text;;It’s the same story over and over again. The floating city project. Vasagatan. Tangaroa. ;Cứ lặp đi lặp lại câu chuyện y hệt. Dự án thành phố nổi. Vasagatan. Tangaroa.
Story/Utopia/Voiceline/OlofDialogue8_2;Text;;Failures brought on by weak spirits and undisciplined men.;Thất bại gây ra bởi tinh thần yếu đuối và những kẻ vô kỷ luật.
Story/Utopia/Voiceline/OlofDialogue9;Text;;You’re nothing but beasts in the rubble.;Các ngươi chẳng là gì ngoài lũ thú vật trong đống đổ nát.
Story/Utopia/Voiceline/OlofFinal1;Text;;Get back!;Lùi lại!
Story/Utopia/Voiceline/OlofFinal2;Text;;There’s nothing you can do. Stay away. All of this is mine.;Ngươi không thể làm gì được đâu. Tránh xa ra. Tất cả những thứ này là của ta.
Story/Utopia/Voiceline/OlofFinal3;Text;;You think you can change anything?;Ngươi nghĩ ngươi có thể thay đổi được gì sao?
Story/Utopia/Voiceline/OlofFinal4;Text;;Without me, this Utopia will burn.;Không có ta, Utopia này sẽ cháy rụi.
Story/Utopia/Voiceline/OlofFinal5;Text;;I am your saviour!;Ta là đấng cứu rỗi của các ngươi!
Story/Utopia/Voiceline/OlofFinal6;Text;;Stay away!;Tránh xa ra!
Story/Utopia/Voiceline/OlofSmallJusticeScale1;Text;;I will only say this once. Leave on your raft. Leave Utopia to me.;Ta chỉ nói điều này một lần thôi. Hãy rời đi bằng bè của ngươi. Để Utopia lại cho ta.
Story/Utopia/Voiceline/OlofSmallJusticeScale2;Text;;Or else the Forward Scouts ends with you.;Nếu không các Trinh Sát Tiên Phong sẽ kết thúc cùng với ngươi.
Story/Utopia/Voiceline/RebeccaDialogue1;Text;;This place is a mess.;Nơi này thật bừa bộn.
Story/Utopia/Voiceline/RebeccaDialogue2;Text;;There’s hyena hair everywhere!;Lông linh cẩu khắp mọi nơi!
Story/Utopia/Voiceline/RebeccaDialogue3;Text;;It’ll take days to clean up the towers.;Sẽ mất vài ngày để dọn sạch các tòa tháp.
Story/Utopia/Voiceline/RebeccaDialogue4;Text;;I hope the council makes Olof clean it up himself.;Tôi hy vọng hội đồng sẽ bắt Olof tự dọn dẹp lấy.
Story/Utopia/Voiceline/TimurDialogue1;Text;;The future is bright!;Tương lai thật tươi sáng!
Story/Utopia/Voiceline/TimurDialogue2;Text;;I was so scared Utopia would fall into ruin after this incident.;Tôi đã rất sợ Utopia sẽ sụp đổ sau sự cố này.
Story/Utopia/Voiceline/TimurDialogue3;Text;;Now I'm hopeful again.;Giờ tôi lại thấy hy vọng.
Story/Utopia/Voiceline/TimurDialogue4;Text;;We can do it! We can rebuild!;Chúng ta làm được mà! Chúng ta có thể xây dựng lại!
Story/Utopia/Voiceline/ToshiroDialogue1;Text;;You deserve all the credit in the world.;Bạn xứng đáng nhận mọi công lao trên đời.
Story/Utopia/Voiceline/ToshiroDialogue2;Text;;You know, I was almost a Forward Scout myself.;Bạn biết không, tôi từng suýt trở thành một Trinh Sát Tiên Phong đấy.
Story/Utopia/Voiceline/ToshiroDialogue3;Text;;Ended up as working in a raft town instead.;Cuối cùng lại làm việc ở một thị trấn bè thay vào đó.
Story/Utopia/Voiceline/ToshiroDialogue4;Text;;But I’ll tell you, I’m a really good at building rafts.;Nhưng để tôi nói cho bạn biết, tôi thực sự giỏi xây bè.
Story/Utopia/Voiceline/ToshiroDialogue5;Text;;Used to build boats before the flood. Wasn’t as fun, if I’m honest.;Từng đóng thuyền trước khi lụt lội xảy ra. Thành thật thì không vui bằng.
Story/Utopia/Voiceline/ToshiroDialogue6;Text;;Rafts are magical in their own way, don't you agree?;Bè có một sự kỳ diệu riêng, bạn không thấy vậy sao?
Story/Utopia/Voiceline/UllaDialogue1;Text;;There is something deeply wrong with those hyenas.;Có gì đó rất không ổn với mấy con linh cẩu đó.
Story/Utopia/Voiceline/UllaDialogue2;Text;;I lived on Temperance for a bit. As a researcher.;Tôi từng sống ở Temperance một thời gian. Với tư cách nhà nghiên cứu.
Story/Utopia/Voiceline/UllaDialogue3;Text;;Olof’s hyenas seem to be afflicted by some kind of rapid mutation.;Lũ linh cẩu của Olof có vẻ bị ảnh hưởng bởi một loại đột biến nhanh nào đó.
Story/Utopia/Voiceline/UllaDialogue4;Text;;I’ll be sure to investigate on behalf of the council.;Tôi sẽ chắc chắn điều tra thay mặt hội đồng.
Story/Utopia/Voiceline/VanessaDialogue1;Text;;This place is a mess.;Nơi này thật bừa bộn.
Story/Utopia/Voiceline/VanessaDialogue2;Text;;There’s hyena hair everywhere!;Lông linh cẩu khắp mọi nơi!
Story/Utopia/Voiceline/VanessaDialogue3;Text;;It’ll take days to clean up the towers.;Sẽ mất vài ngày để dọn sạch các tòa tháp.
Story/Utopia/Voiceline/VanessaDialogue4;Text;;I hope the council makes Olof clean it up himself.;Tôi hy vọng hội đồng sẽ bắt Olof tự dọn dẹp lấy.
Story/Utopia/Voiceline/ZayanaDialogue1;Text;;It’s you!;Là bạn!
Story/Utopia/Voiceline/ZayanaDialogue2;Text;;Don’t know what we would've done without you.;Không biết chúng tôi sẽ ra sao nếu không có bạn.
Story/Utopia/Voiceline/ZayanaDialogue3;Text;;Thank you, Forward Scout.;Cảm ơn bạn, Trinh Sát Tiên Phong.
Story/Utopia/Voiceline/ZayanaDialogue4;Text;;We can go back to normal now.;Giờ chúng tôi có thể trở lại bình thường rồi.
Story/Varuna/Grabber1;Text;;"Varuna Point has all too many holes in it. Makes it easy to move unnoticed.

Today I nicked a hammer. Yesterday I took some dried meat from the foreman’s stash. It’s less fun taking food, since it spoils, eventually.  The watch I got from the loud-mouthed driller was way more exciting.

I want to grab something even better tonight.";"Mũi Varuna có quá nhiều lỗ hổng. Điều đó khiến việc di chuyển không bị chú ý trở nên dễ dàng.

Hôm nay tôi chôm được một cái búa. Hôm qua tôi lấy ít thịt khô từ kho của quản đốc. Lấy đồ ăn thì bớt thú vị hơn, vì cuối cùng nó cũng hỏng. Chiếc đồng hồ tôi lấy từ tay thợ khoan mồm to thú vị hơn nhiều.

Tối nay tôi muốn chôm được thứ gì đó còn hay hơn nữa."
Story/Varuna/Grabber2;Text;;"I heard them talking about me this morning. They call me the Grabber. It’s growing on me.

I moved my cache. It’s higher up now, on the new floor. Right under their noses. The foreman complained about the lack of cameras. Ha! Like that’d matter. I wouldn’t get caught even if the walls had eyes.

I’m starting to get good at this.
~The Grabber";"Sáng nay tôi nghe họ nói về mình. Họ gọi tôi là Kẻ Chôm Chỉa. Cái tên này đang dần thấy hợp.

Tôi đã dời kho giấu đồ. Giờ nó ở cao hơn, trên tầng mới. Ngay dưới mũi họ. Quản đốc than phiền về việc thiếu camera. Ha! Cứ như thể điều đó quan trọng vậy. Dù tường có mắt tôi cũng không bị bắt.

Tôi đang dần giỏi việc này rồi đấy.
~Kẻ Chôm Chỉa"
Story/Varuna/Grabber3;Text;;"We don’t work on new floors anymore. Everyone is scared of ""the Grabber"". There’s talk about leaving before ''the water gets even higher''.  Leaving for that other construction project, the one taken over by rafters. They call it Utopia.

Ha! The only utopia I need is right here! I’ve started to secure the tower. As long as I live no one will claim my treasure. No one will reach my nest!
~The Grabber";"Chúng tôi không còn làm việc ở các tầng mới nữa. Mọi người đều sợ ""Kẻ Chôm Chỉa"". Có tin đồn về việc rời đi trước khi ""nước dâng cao hơn nữa"". Rời đi đến công trình xây dựng khác, cái đã bị người lái bè chiếm lấy. Họ gọi nó là Utopia.

Ha! Utopia duy nhất tôi cần chính là ở đây! Tôi đã bắt đầu củng cố tòa tháp. Chừng nào tôi còn sống, không ai sẽ chiếm được kho báu của tôi. Không ai sẽ đến được tổ của tôi!
~Kẻ Chôm Chỉa"
Story/Varuna/Grabber4;Text;;"When people come by they don’t stay for long. Why? Probably because I keep stealing their stuff…

Today it was a man named Ruben and a boy named Detto. They were caught in a storm and needed supplies. When they fell asleep I nicked a whole set of tools. Crude stuff. But still good!
In the morning they were so freaked out they sailed away immediately. Hilarious!
~The Grabber";"Khi mọi người ghé qua họ không ở lại lâu. Tại sao? Chắc vì tôi cứ chôm đồ của họ...

Hôm nay là một người đàn ông tên Ruben và một cậu bé tên Detto. Họ bị mắc kẹt trong bão và cần vật tư. Khi họ ngủ say tôi chôm cả một bộ dụng cụ. Đồ thô sơ. Nhưng vẫn tốt!
Buổi sáng họ hoảng sợ đến mức giong buồm đi ngay lập tức. Buồn cười quá!
~Kẻ Chôm Chỉa"
Story/Varuna/Grabber5;Text;;"A man talking to dolls arrived yesterday. I found his loud discussions entertaining. Maybe I miss company a bit too.

The man climbed high up into the crane with a satellite dish. He called out on his little radio for ‘Astrid’. It looked… unsuccessful.

I might have… stolen one of his dolls. ‘Miranda’ is her name. The man left an hour ago, after freaking out all day over it! Ha! So many strange people these days.
~The Grabber";"Hôm qua có một người đàn ông nói chuyện với búp bê đến đây. Tôi thấy những cuộc trò chuyện ồn ào của ông ta khá thú vị. Có lẽ tôi cũng nhớ có bạn đồng hành một chút.

Người đàn ông trèo lên cao trên cần cẩu với một chiếc đĩa vệ tinh. Ông ta gọi trên chiếc radio nhỏ của mình tên 'Astrid'. Có vẻ như... không thành công.

Có lẽ tôi đã... chôm một trong những con búp bê của ông ta. Tên nó là 'Miranda'. Người đàn ông đã rời đi một giờ trước, sau khi hoảng loạn cả ngày vì chuyện đó! Ha! Dạo này có nhiều người kỳ lạ quá.
~Kẻ Chôm Chỉa"
Story/Varuna/Grabber6;Text;;"I would be bored these days, if the ‘motherlode’ wasn’t on the forefront of my mind. The water stole it from me. I should’ve acted sooner. 

Now there’s trouble in the way. It’s risky to deal with, but it might be worth it. The thought gnaws at me.

But it’s just one shark. How hard could it be?
~The Grabber";"Dạo này tôi sẽ chán lắm, nếu 'mỏ vàng' không cứ luẩn quẩn trong đầu tôi. Nước đã cướp nó khỏi tay tôi. Lẽ ra tôi nên hành động sớm hơn.

Giờ có rắc rối cản đường. Xử lý nó khá rủi ro, nhưng có thể đáng giá. Ý nghĩ đó cứ gặm nhấm tôi.

Nhưng đó chỉ là một con cá mập thôi mà. Khó đến mức nào được chứ?
~Kẻ Chôm Chỉa"
Story/Varuna/Voiceline/Grabber1_1;Text;;Varuna Point has all too many holes in it. Makes it easy to move unnoticed.;Mũi Varuna có quá nhiều lỗ hổng. Điều đó khiến việc di chuyển không bị chú ý trở nên dễ dàng.
Story/Varuna/Voiceline/Grabber1_2;Text;;Today I nicked a hammer. Yesterday I took some dried meat from the foreman’s stash.;Hôm nay tôi chôm được một cái búa. Hôm qua tôi lấy ít thịt khô từ kho của quản đốc.
Story/Varuna/Voiceline/Grabber1_3;Text;;It’s less fun taking food, since it spoils, eventually. ;Lấy đồ ăn thì bớt thú vị hơn, vì cuối cùng nó cũng hỏng.
Story/Varuna/Voiceline/Grabber1_4;Text;;The watch I got from the loud-mouthed driller was way more exciting.;Chiếc đồng hồ tôi lấy từ tay thợ khoan mồm to thú vị hơn nhiều.
Story/Varuna/Voiceline/Grabber1_5;Text;;I want to grab something even better tonight.;Tối nay tôi muốn chôm được thứ gì đó còn hay hơn nữa.
Story/Varuna/Voiceline/Grabber2_1;Text;;I heard them talking about me this morning. They call me the Grabber. It’s growing on me.;Sáng nay tôi nghe họ nói về mình. Họ gọi tôi là Kẻ Chôm Chỉa. Cái tên này đang dần thấy hợp.
Story/Varuna/Voiceline/Grabber2_2;Text;;I moved my cache. It’s higher up now, on the new floor. Right under their noses.;Tôi đã dời kho giấu đồ. Giờ nó ở cao hơn, trên tầng mới. Ngay dưới mũi họ.
Story/Varuna/Voiceline/Grabber2_3;Text;;The foreman complained about the lack of cameras. Ha! Like that’d matter.;Quản đốc than phiền về việc thiếu camera. Ha! Cứ như thể điều đó quan trọng vậy.
Story/Varuna/Voiceline/Grabber2_4;Text;;I wouldn’t get caught even if the walls had eyes. I’m starting to get good at this.;Dù tường có mắt tôi cũng không bị bắt. Tôi đang dần giỏi việc này rồi đấy.
Story/Varuna/Voiceline/Grabber3_1;Text;;"We don’t work on new floors anymore. Everyone is scared of ""the Grabber"".";"Chúng tôi không còn làm việc ở các tầng mới nữa. Mọi người đều sợ ""Kẻ Chôm Chỉa""."
Story/Varuna/Voiceline/Grabber3_2;Text;;There’s talk about leaving before ''the water gets even higher''. ;"Có tin đồn về việc rời đi trước khi ""nước dâng cao hơn nữa""."
Story/Varuna/Voiceline/Grabber3_3;Text;;Leaving for that other construction project, the one taken over by rafters.;Rời đi đến công trình xây dựng khác, cái đã bị người lái bè chiếm lấy.
Story/Varuna/Voiceline/Grabber3_4;Text;;They call it Utopia. Ha! The only utopia I need is right here! I’ve started to secure the tower.;Họ gọi nó là Utopia. Ha! Utopia duy nhất tôi cần chính là ở đây! Tôi đã bắt đầu củng cố tòa tháp.
Story/Varuna/Voiceline/Grabber3_5;Text;;As long as I live no one will claim my treasure. No one will reach my nest!;Chừng nào tôi còn sống, không ai sẽ chiếm được kho báu của tôi. Không ai sẽ đến được tổ của tôi!
Story/Varuna/Voiceline/Grabber4_1;Text;;When people come by they don’t stay for long. Why? Probably because I keep stealing their stuff…;Khi mọi người ghé qua họ không ở lại lâu. Tại sao? Chắc vì tôi cứ chôm đồ của họ...
Story/Varuna/Voiceline/Grabber4_2;Text;;Today it was a man named Ruben and a boy named Detto.;Hôm nay là một người đàn ông tên Ruben và một cậu bé tên Detto.
Story/Varuna/Voiceline/Grabber4_3;Text;;They were caught in a storm and needed supplies. ;Họ bị mắc kẹt trong bão và cần vật tư.
Story/Varuna/Voiceline/Grabber4_4;Text;;When they fell asleep I nicked a whole set of tools. Crude stuff. But still good!;Khi họ ngủ say tôi chôm cả một bộ dụng cụ. Đồ thô sơ. Nhưng vẫn tốt!
Story/Varuna/Voiceline/Grabber4_5;Text;;In the morning they were so freaked out they sailed away immediately. Hilarious!;Buổi sáng họ hoảng sợ đến mức giong buồm đi ngay lập tức. Buồn cười quá!
Story/Varuna/Voiceline/Grabber5_1;Text;;A man talking to dolls arrived yesterday. I found his loud discussions entertaining. ;Hôm qua có một người đàn ông nói chuyện với búp bê đến đây. Tôi thấy những cuộc trò chuyện ồn ào của ông ta khá thú vị.
Story/Varuna/Voiceline/Grabber5_2;Text;;Maybe I miss company a bit too. The man climbed high up into the crane with a satellite dish.;Có lẽ tôi cũng nhớ có bạn đồng hành một chút. Người đàn ông trèo lên cao trên cần cẩu với một chiếc đĩa vệ tinh.
Story/Varuna/Voiceline/Grabber5_3;Text;;He called out on his little radio for ‘Astrid’. It looked… unsuccessful.;Ông ta gọi trên chiếc radio nhỏ của mình tên 'Astrid'. Có vẻ như... không thành công.
Story/Varuna/Voiceline/Grabber5_4;Text;;I might have… stolen one of his dolls. ‘Miranda’ is her name.;Có lẽ tôi đã... chôm một trong những con búp bê của ông ta. Tên nó là 'Miranda'.
Story/Varuna/Voiceline/Grabber5_5;Text;; The man left an hour ago, after freaking out all day over it! Ha! So many strange people these days.; Người đàn ông đã rời đi một giờ trước, sau khi hoảng loạn cả ngày vì chuyện đó! Ha! Dạo này có nhiều người kỳ lạ quá.
Story/Varuna/Voiceline/Grabber6_1;Text;;I would be bored these days, if the ‘motherlode’ wasn’t on the forefront of my mind.;Dạo này tôi sẽ chán lắm, nếu 'mỏ vàng' không cứ luẩn quẩn trong đầu tôi.
Story/Varuna/Voiceline/Grabber6_2;Text;;The water stole it from me. I should’ve acted sooner. ;Nước đã cướp nó khỏi tay tôi. Lẽ ra tôi nên hành động sớm hơn.
Story/Varuna/Voiceline/Grabber6_3;Text;;Now there’s trouble in the way. It’s risky to deal with, but it might be worth it. The thought gnaws at me.;Giờ có rắc rối cản đường. Xử lý nó khá rủi ro, nhưng có thể đáng giá. Ý nghĩ đó cứ gặm nhấm tôi.
Story/Varuna/Voiceline/Grabber6_4;Text;;But it’s just one shark. How hard could it be?;Nhưng đó chỉ là một con cá mập thôi mà. Khó đến mức nào được chứ?
Story/Vasagatan/HannesLetter1;Text;;"I heard from the captain we’re heading for one of the high-rises down south. I can only hope you come to your senses and follow us.

You knew the city was a failure, Ruben. Why do you always have to be so stubborn? 
~Hanne";"Em nghe thuyền trưởng nói chúng tôi đang hướng đến một trong những tòa nhà cao tầng phía nam. Em chỉ mong anh tỉnh táo lại và đi theo chúng tôi.

Anh biết thành phố đã thất bại rồi, Ruben. Sao anh cứ phải cứng đầu vậy?
~Hanne"
Story/Vasagatan/HannesLetter2;Text;;"Ruben,

The yacht is ill prepared for this journey. Olof left space for a dance floor, but no space for supplies. The bottles sure found their way to the bar. As a military man I thought Olof would at the very least be practical. Yet they’re all treating it like a luxury cruise.

I’m sorry, Ruben. I shouldn't have left.
~Hanne";"Ruben,

Du thuyền không được chuẩn bị tốt cho chuyến đi này. Olof để chỗ cho sàn nhảy, nhưng không có chỗ cho vật tư. Mấy chai rượu thì chắc chắn tìm được đường đến quầy bar. Là một quân nhân, em tưởng Olof ít nhất cũng thực tế. Vậy mà ai cũng coi đây như một chuyến du thuyền sang trọng.

Em xin lỗi, Ruben. Lẽ ra em không nên rời đi.
~Hanne"
Story/Vasagatan/HannesLetter3;Text;;"I saw a large rat last night… Unnervingly large. I tried telling the crew we obviously have an infestation among the locked down supplies. They laughed at me.

I miss you, Ruben.
~Hanne";"Đêm qua em thấy một con chuột to... To đến đáng sợ. Em cố nói với thủy thủ đoàn rằng rõ ràng chúng ta có sâu bệnh trong kho vật tư bị khóa. Họ cười nhạo em.

Em nhớ anh, Ruben.
~Hanne"
Story/Vasagatan/MagazineClipping1;Text;;"calling the cost of the project’s realization “borderline criminal” and its scope “outrageous, at least”. Despite vocal opposition, the Floating Cities Project does not appear to be slowing down anytime soon. According to former General Olof Wilkstrom’s latest statement on the issue:

“We are fully aware of the strain this puts on our people. Nevertheless, our options are becoming increasingly limited. We must pull through this together or join Stockholm beneath the waves.”";"gọi chi phí thực hiện dự án là ""gần như phạm pháp"" và quy mô của nó là ""quá đáng, ít nhất là vậy"". Bất chấp sự phản đối mạnh mẽ, Dự án Thành Phố Nổi dường như sẽ không chậm lại trong thời gian tới. Theo tuyên bố mới nhất của cựu Tướng Olof Wilkstrom về vấn đề này:

""Chúng tôi hoàn toàn nhận thức được áp lực mà điều này đặt lên người dân của mình. Tuy nhiên, các lựa chọn của chúng tôi ngày càng bị hạn chế. Chúng ta phải cùng nhau vượt qua điều này hoặc gia nhập Stockholm dưới lòng sóng nước."""
Story/Vasagatan/MagazineClipping2;Text;;"""We must pull through this together or join Stockholm beneath the waves.""";"""Chúng ta phải cùng nhau vượt qua điều này hoặc gia nhập Stockholm dưới lòng sóng nước."""
Story/Vasagatan/MagazineClipping3;Text;;Wilkstrom refused to comment on the rumors regarding the modification of his personal yacht. When further asked about the Floating City Project’s whistle blowers, Olof Wilkstrom chose to terminate the interview. Reaching out to these anonymous sources we were able to further corroborate -;Wilkstrom từ chối bình luận về các tin đồn liên quan đến việc cải tạo du thuyền cá nhân của ông ta. Khi được hỏi thêm về những người tố giác của Dự án Thành Phố Nổi, Olof Wilkstrom đã chọn cách kết thúc cuộc phỏng vấn. Liên hệ với các nguồn ẩn danh này, chúng tôi đã có thể xác nhận thêm rằng -
Story/Vasagatan/MagazineClippingFactbox;Text;;Factbox;Hộp thông tin
Story/Vasagatan/MagazineClippingTitle;Text;;CITIES IN THE BLUE;NHỮNG THÀNH PHỐ TRONG MÀU XANH
Story/Vasagatan/OlofsLog1;Text;;"The captain keeps complaining about my route. If he does it again he will be reprimanded. 

The crew doesn’t listen to orders. I’m shocked by their undisciplined nature. Somehow they believe rank and prestige disappeared with solid land. No, they will not be allowed to mingle among my esteemed guests. And they will certainly not be allowed further rations. 

They should be grateful. I am the only reason they are alive.
~Olof Wilkstrom";"Thuyền trưởng cứ than phiền về lộ trình của tôi. Nếu hắn làm vậy lần nữa sẽ bị khiển trách.

Thủy thủ đoàn không nghe lệnh. Tôi sốc trước bản tính vô kỷ luật của họ. Bằng cách nào đó họ tin rằng cấp bậc và danh dự đã biến mất cùng với đất liền vững chắc. Không, họ sẽ không được phép hòa lẫn với các vị khách quý của tôi. Và chắc chắn họ sẽ không được cấp thêm khẩu phần.

Họ nên biết ơn. Tôi là lý do duy nhất họ còn sống.
~Olof Wilkstrom"
Story/Vasagatan/OlofsLog2;Text;;"As I’ve suspected the crew is completely incompetent. Now they’re claiming RATS have eaten half of our supplies in a matter of weeks. I promised them increased rations if they could bring me one of these ridiculous ‘lurkers’ alive.

Of course, the food shortage will need to be handled. Tonight we’re discussing which staff members are most suitable for termination.
~Olof Wilkstrom";"Đúng như tôi nghi ngờ, thủy thủ đoàn hoàn toàn bất tài. Giờ họ lại tuyên bố CHUỘT đã ăn hết một nửa vật tư của chúng tôi chỉ trong vài tuần. Tôi hứa sẽ tăng khẩu phần nếu họ mang được cho tôi một trong những con 'lurker' lố bịch đó còn sống.

Tất nhiên, tình trạng thiếu lương thực sẽ cần được xử lý. Tối nay chúng tôi sẽ bàn xem nhân viên nào phù hợp nhất để sa thải.
~Olof Wilkstrom"
Story/Vasagatan/OlofsLog3;Text;;"These ‘lurkers’ have potential. They were clearly once rats, now grown into something much more rabid. Yet also smarter.

I’ve already made progress on their training. With food and pain as incentives I can discipline them. And by sharing their blood the mutations increase. I wonder if another species would react the same? I’ve received a transmission from a place called Caravan Town not far from here.

They have an active animal population. No longer do I need this make-shift crew. I will create true soldiers. Loyal soldiers.
~Olof Wilkstrom";"Những con 'lurker' này có tiềm năng. Rõ ràng chúng từng là chuột, giờ đã lớn lên thành thứ gì đó điên cuồng hơn nhiều. Nhưng cũng thông minh hơn.

Tôi đã có tiến triển trong việc huấn luyện chúng. Với thức ăn và đau đớn làm động lực, tôi có thể kỷ luật chúng. Và bằng cách chia sẻ máu của chúng, đột biến sẽ tăng lên. Tôi tự hỏi liệu loài khác có phản ứng tương tự không? Tôi vừa nhận được một tín hiệu từ một nơi gọi là Caravan Town không xa đây.

Họ có quần thể động vật đang hoạt động. Tôi không còn cần thủy thủ đoàn tạm bợ này nữa. Tôi sẽ tạo ra những chiến binh thực thụ. Những chiến binh trung thành.
~Olof Wilkstrom"
Story/Vasagatan/Recording1;Text;;"(Transcribed)
(Hanne) - “But what does that mean? You can’t just fire them. We’re out at sea!”
(Olof) - “Hanne, you were brought to keep the engines running. That is what you-” 
(Lurker) - *Rabid noises.*
(Hanne) - “That’s one of those damn rats! What are you doing to it?”
(Olof) - “Get out. Do your job.”";"(Đã chép lại)
(Hanne) - ""Nhưng điều đó có nghĩa là gì? Ông không thể chỉ sa thải họ. Chúng ta đang ở giữa biển khơi!""
(Olof) - ""Hanne, cô được đưa đến đây để giữ động cơ hoạt động. Đó là việc mà cô-""
(Lurker) - *Tiếng gầm gừ điên loạn.*
(Hanne) - ""Đó là một trong những con chuột chết tiệt đó! Ông đang làm gì với nó vậy?""
(Olof) - ""Ra ngoài. Làm việc của cô đi."""
